uM_pos,uM_neg,sM_pos,sM_neg
7.7,-5.5,41.4,-22.5
,,,
,,,
,,,
C,,U,
2.6156619,,-6.9235032,
2.6266988,,-6.2943019,
2.7545252,,-5.6690349,
2.9779115,,-5.205766,
3.0706948,,-4.7180861,
3.0442033,,-4.2263572,
3.0222109,,-3.6921715,
3.0683997,,-3.2306907,
3.2665325,,-2.2112135,
3.3490758,,-1.8513477,
3.6424097,,-1.3382141,
4.3655909,,-0.91914043,
6.0998612,,-0.59790339,
8.1976905,,-0.48655425,
9.6753046,,-0.31282697,
9.3218903,,-0.13775049,
9.3433827,,0.010520416,
9.4674357,,0.16427647,
9.022579,,0.34679497,
8.825957,,0.4941258,
9.8087744,,0.68505385,
9.5171614,,0.85330632,
9.0262009,,0.93937834,
8.4043191,,1.1627972,
7.3044666,,1.3694297,
6.4439276,,1.7664467,
5.8928442,,1.9672773,
5.5292469,,2.304863,
5.7697162,,2.5641512,
5.874368,,2.8378304,
6.7022525,,3.0135231,
6.2945907,,3.3695203,
5.7324958,,3.4283856,
